"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,
"Saudi Arabia","456","Revenue (% of GDP)","GGR_G01_GDP_PT","Value","33.0923699948354","25.6555219037514","24.3234686423531","36.3173809835383","33.0332200365813","29.9569211035961","34.3145371553409","40.8118653919883","46.1376649271067","48.091911319307","41.2365724183279","56.481587410869","31.6822632025743","37.4031819820293","44.3967669721053","45.1659059526281","41.1656593781407","36.6722795854056","24.972111417384","21.4780943559607","24.0688266086386","30.7039462843682","31.160630933837","29.6648872003075","29.0820435280135","29.061674976664","29.030324118441","29.0673078605824","29.1635632868275","29.1755380807544",
"Senegal","722","Revenue (% of GDP)","GGR_G01_GDP_PT","Value","15.0378359153672","14.3958376244989","14.0085203544393","14.7634579389252","14.2709802601965","15.7057868871339","16.5537773152263","18.3293264223168","18.4059898896429","17.6183686866975","19.3741370250386","17.4074880628776","17.4557682334881","17.7610271580871","18.3269915157245","18.7870084314836","17.7548554503249","19.2035914896094","19.283508203794","20.6909874884476","19.4949900674396","18.8896643645886","20.4247247950073","20.0398085709105","20.1991521646845","20.957462614664","21.9428771137933","22.9674179708134","23.8684239020802","23.8544279481969",
"Singapore","576","Revenue (% of GDP)","GGR_G01_GDP_PT","Value","20.2094216698324","20.4792494550795","21.0876407440351","20.715431446113","19.4097548504288","18.1634895862644","16.3233274131139","16.1251195129343","14.9343507499287","14.4395777281757","16.1349613167991","17.5642148587915","15.756961460994","15.9189185389173","17.622579559971","17.162974458793","16.8758288333285","17.1753414694235","17.3000701528797","18.8541336113842","18.8859766453118","17.6172547773738","17.985666782651","17.582303548291","18.9803626571768","18.4086876457688","17.9617771257896","17.5477494636514","17.36656157388","17.2374125031071",
"Slovak Republic","936","Revenue (% of GDP)","GGR_G01_GDP_PT","Value","42.4438074754356","40.5537257899529","40.7929721938454","40.1414990050851","38.0861619938601","37.2265902302469","37.259369085934","35.605693099326","36.8518944015719","35.2422047713506","34.3302202386512","34.470904176374","36.2582396580103","34.9603892732803","37.3011521011998","36.7937555554952","39.6198993400825","40.1974306999625","43.0911798775443","40.076741331129","40.3716482124786","40.7229012742204","41.3389705060143","41.6248522752344","42.3923618275598","41.9340484348067","42.6376612478792","40.891696688978","40.6660893241214","40.3121036896749",
"Slovenia","961","Revenue (% of GDP)","GGR_G01_GDP_PT","Value","43.0636360351245","43.8906186896651","44.046997085902","43.8890362276561","44.2610780368551","44.8869788990475","44.5600527850765","44.686226391875","45.0698129733629","44.3079846458895","43.3606569062112","43.6586703510539","43.5481646568179","44.576076823443","44.2273702389465","45.3599830083496","45.6885862886236","45.3350941430933","45.8632005662441","44.2436410660904","44.0079699985818","44.2615373210478","43.7225188442211","42.9977833667249","42.6283372627942","42.4866775228424","42.2209904963159","41.9543787624114","42.1250160912108","42.2418758734582",
"South Africa","199","Revenue (% of GDP)","GGR_G01_GDP_PT","Value",,,,,"21.6047126741618","21.2551598587309","21.0306742922467","21.6637270343249","25.0374356722713","25.4814350799237","25.6473846778807","25.5228430943664","23.7886622119101","23.7606551357771","24.3563376125458","24.5807284611553","25.0049738706349","25.3967862779425","25.7900991565142","26.1835764836245","25.8441307923191","26.4498819311383","26.9400631972851","25.1693276242312","25.1236837351312","26.1447789843998","26.1565091297499","26.2555395642787","26.3390049164263","26.4253667167072",
"Spain","184","Revenue (% of GDP)","GGR_G01_GDP_PT","Value","37.7071984614683","38.421381740054","38.661138080984","37.9459165764968","37.9582963025308","38.3206235191154","38.0001146751825","38.7224427154056","39.7126457232759","40.5598397327019","41.1413254191619","36.8703815361487","34.9547330413729","36.5077574626483","36.4150661378521","37.9199281543285","38.7963714340598","39.1988435879003","38.7137965274362","38.1365366659484","38.1739906546963","39.2043608233971","39.2007232546459","41.2957641530624","42.058190275954","40.8755130160303","40.622250489427","40.3649738746041","39.077464159937","39.0958364695861",
"Sudan","732","Revenue (% of GDP)","GGR_G01_GDP_PT","Value","6.79007768465081","7.22846031800454","7.5962936431464","9.66356683752845","9.09942992700415","9.85535263036682","13.3118711349179","16.6677257346946","17.8739890605879","17.5002352868463","16.7413466720191","20.2033059431631","14.9590180362101","17.4616672242897","15.9060530612194","9.11317965083571","9.56276847915527","8.79196147472402","8.50879766702353","6.05833805636931","6.89366755042631","8.91421978357729","7.84527930316069","4.82063470218514","9.03816236760547","12.4995313620829","12.2947378864139","12.2721578896621","11.7234057903249","11.5601003003927",
"Sweden","144","Revenue (% of GDP)","GGR_G01_GDP_PT","Value","56.3148272161597","56.4226010901549","55.8275711925048","55.3329504669765","53.0695589901631","51.2546491292889","51.5965483913564","51.681969504564","53.1106057995589","52.19888854292","51.6588068830381","50.9138390383128","50.485144861062","49.2902777354144","48.3873381966547","48.7814065720104","49.1409017412171","48.1437262224092","48.3929472569928","49.7837501027739","49.654558372219","49.5970636492385","48.5446327732845","48.7454340082797","49.9421660600288","50.5988935542653","49.4435599131319","49.2363214226932","49.0869560641268","48.9332441321195",
"Switzerland","146","Revenue (% of GDP)","GGR_G01_GDP_PT","Value","30.548983392122","31.3136677757482","31.6027250597541","32.4345697741728","31.7117571203344","32.2295978236202","31.7632521269608","31.5343067970277","31.5933189065262","31.2250344370304","30.8371709735609","31.7258419290046","32.0051192383579","31.5530279683885","31.8665050539691","31.6165743904462","31.8070900504479","31.5783693566266","32.6292390452075","32.3155995351177","33.1283862830748","32.5582675307995","32.8033985927979","33.6589863353603","33.1541015403299","32.9883310326282","32.9883310326282","32.6584477223019","32.658447722302","32.6584477223019",
